13/12/1991	18:00	Hamburger SV	-	VfL Bochum	0:0 (0:0)	
	19:00	Borussia Dortmund	-	Hansa Rostock	4:1 (2:0)	
	19:00	Bor. Mönchengladbach	-	Karlsruher SC	1:0 (1:0)	
14/12/1991	14:30	Eintracht Frankfurt	-	Dynamo Dresden	3:0 (2:0)	
	14:30	1. FC Nürnberg	-	FC Schalke 04	0:1 (0:0)	
	14:30	Bayern München	-	Fortuna Düsseldorf	3:1 (0:1)	
	14:30	VfB Stuttgart	-	Werder Bremen	1:1 (0:0)	
	14:30	SG Wattenscheid 09	-	MSV Duisburg	2:0 (1:0)	
	14:30	1. FC Kaiserslautern	-	1. FC Köln	2:1 (2:0)	
	14:30	Bayer Leverkusen	-	Stuttgarter Kickers	3:1 (0:1)	
